[ 00:13:01.383 -->  00:13:01.400] FW SPEAKER_00
[ 00:13:08.378 -->  00:13:24.575] FX SPEAKER_03
[ 00:13:13.013 -->  00:13:13.285] FY SPEAKER_00
[ 00:13:24.609 -->  00:13:35.645] FZ SPEAKER_02
[ 00:13:35.645 -->  00:13:36.171] GA SPEAKER_00
[ 00:13:35.679 -->  00:13:36.001] GB SPEAKER_02
[ 00:13:36.443 -->  00:13:42.079] GC SPEAKER_02
[ 00:13:41.689 -->  00:13:42.113] GD SPEAKER_03
[ 00:13:42.113 -->  00:13:46.799] GE SPEAKER_02
[ 00:13:45.152 -->  00:13:45.696] GF SPEAKER_03
[ 00:13:47.020 -->  00:14:00.942] GG SPEAKER_03
[ 00:14:00.942 -->  00:14:01.027] GH SPEAKER_02
[ 00:14:01.095 -->  00:14:12.198] GI SPEAKER_02
[ 00:14:04.915 -->  00:14:05.152] GJ SPEAKER_00
[ 00:14:12.198 -->  00:14:12.300] GK SPEAKER_00
[ 00:14:12.504 -->  00:14:17.071] GL SPEAKER_02
[ 00:14:17.767 -->  00:14:20.229] GM SPEAKER_02
[ 00:14:20.704 -->  00:14:24.032] GN SPEAKER_02
[ 00:14:24.490 -->  00:14:28.327] GO SPEAKER_02
[ 00:14:28.361 -->  00:14:29.363] GP SPEAKER_04
[ 00:14:29.363 -->  00:14:29.957] GQ SPEAKER_02
[ 00:14:29.957 -->  00:14:30.365] GR SPEAKER_04
[ 00:14:29.991 -->  00:14:30.331] GS SPEAKER_02
[ 00:14:30.365 -->  00:14:35.424] GT SPEAKER_02
[ 00:14:32.809 -->  00:14:32.928] GU SPEAKER_04
[ 00:14:35.033 -->  00:14:35.577] GV SPEAKER_04
[ 00:14:35.764 -->  00:14:44.643] GW SPEAKER_04
[ 00:14:44.762 -->  00:15:07.122] GX SPEAKER_03
[ 00:14:48.955 -->  00:14:49.295] GY SPEAKER_04
[ 00:15:07.529 -->  00:15:16.952] GZ SPEAKER_01
[ 00:15:17.852 -->  00:15:18.803] HA SPEAKER_04
[ 00:15:18.446 -->  00:15:18.463] HB SPEAKER_01
[ 00:15:18.463 -->  00:15:45.135] HC SPEAKER_02
[ 00:15:31.926 -->  00:15:32.317] HD SPEAKER_00
[ 00:15:45.713 -->  00:15:48.938] HE SPEAKER_04
[ 00:15:49.397 -->  00:16:08.921] HF SPEAKER_04
[ 00:15:58.140 -->  00:16:01.570] HG SPEAKER_00
[ 00:16:10.517 -->  00:16:16.629] HH SPEAKER_03
[ 00:16:17.054 -->  00:16:17.122] HI SPEAKER_03
[ 00:16:17.122 -->  00:16:17.410] HJ SPEAKER_00
[ 00:16:17.410 -->  00:16:17.750] HK SPEAKER_03
[ 00:16:17.750 -->  00:16:17.784] HL SPEAKER_00
[ 00:16:18.684 -->  00:16:18.955] HM SPEAKER_00
[ 00:16:18.955 -->  00:16:22.996] HN SPEAKER_03
[ 00:16:22.996 -->  00:16:45.882] HO SPEAKER_01
[ 00:16:29.244 -->  00:16:29.651] HP SPEAKER_00
[ 00:16:30.534 -->  00:16:31.061] HQ SPEAKER_00
[ 00:16:35.764 -->  00:16:36.222] HR SPEAKER_00
[ 00:16:47.325 -->  00:16:57.529] HS SPEAKER_01
[ 00:16:51.926 -->  00:16:51.994] HT SPEAKER_00
[ 00:16:57.224 -->  00:16:57.648] HU SPEAKER_04
[ 00:16:57.648 -->  00:16:58.005] HV SPEAKER_01
[ 00:16:58.005 -->  00:16:58.089] HW SPEAKER_04
[ 00:16:58.089 -->  00:16:58.106] HX SPEAKER_01
[ 00:16:58.106 -->  00:16:58.972] HY SPEAKER_04
[ 00:16:59.006 -->  00:16:59.040] HZ SPEAKER_04
[ 00:16:59.159 -->  00:17:02.198] IA SPEAKER_04
[ 00:17:03.047 -->  00:17:12.589] IB SPEAKER_02
[ 00:17:04.592 -->  00:17:04.711] IC SPEAKER_04
[ 00:17:12.589 -->  00:17:12.945] ID SPEAKER_04
[ 00:17:12.623 -->  00:17:13.624] IE SPEAKER_02
[ 00:17:13.913 -->  00:17:26.205] IF SPEAKER_04
[ 00:17:18.599 -->  00:17:19.176] IG SPEAKER_02
[ 00:17:19.244 -->  00:17:20.042] IH SPEAKER_02
[ 00:17:26.528 -->  00:17:28.870] II SPEAKER_04
[ 00:17:26.765 -->  00:17:27.427] IJ SPEAKER_02
[ 00:17:28.293 -->  00:17:29.193] IK SPEAKER_02
[ 00:17:29.193 -->  00:17:29.329] IL SPEAKER_04
[ 00:17:29.329 -->  00:17:30.178] IM SPEAKER_02
[ 00:17:29.346 -->  00:17:32.911] IN SPEAKER_04
[ 00:17:33.607 -->  00:17:35.899] IO SPEAKER_04
[ 00:17:35.967 -->  00:17:36.001] IP SPEAKER_04
[ 00:17:36.001 -->  00:17:36.578] IQ SPEAKER_00
[ 00:17:36.511 -->  00:17:43.624] IR SPEAKER_04
[ 00:17:36.884 -->  00:17:36.952] IS SPEAKER_00
[ 00:17:43.064 -->  00:17:48.599] IT SPEAKER_02
[ 00:17:47.716 -->  00:17:48.191] IU SPEAKER_04
[ 00:17:49.193 -->  00:17:51.536] IV SPEAKER_04
